"answer_id","f1_llama","f1_orca","f1_falcon"
1,"0.012048192771084336","0","0.03125"
2,"0.01680672268907563","0.03225806451612903","0.10526315789473684"
3,"0.02150537634408602","0.02380952380952381","0"
4,"0.04195804195804196","0.5714285714285715","0.17647058823529413"
5,"0.07407407407407407","0.09375","0.35294117647058826"
6,"0.013245033112582783","0.030303030303030307","0.06060606060606061"
7,"0.015151515151515152","0.03508771929824561","0.18181818181818182"
8,"0.014598540145985401","0.02531645569620253","0.25"
9,"0.05263157894736843","0.08602150537634409","0.0888888888888889"
10,"0.01612903225806452","0","0"
11,"0.011695906432748537","0.02985074626865672","0"
12,"0.06936416184971098","0.10526315789473684","0.16666666666666666"
13,"0.0975609756097561","0.20779220779220778","0.3333333333333333"
14,"0.034482758620689655","0.029411764705882353","0.052631578947368425"
15,"0.025974025974025976","0.03076923076923077","0.14285714285714288"
16,"0.05555555555555556","0.05128205128205127","0.14285714285714288"
17,"0.01652892561983471","0.03636363636363636","0"
18,"0.014184397163120567","0","0"
19,"0.08139534883720931","0.08","0.18666666666666665"
20,"0.01680672268907563","0.034482758620689655","0.19999999999999998"
21,"0.023529411764705882","0.03076923076923077","0.02469135802469136"
22,"0.025641025641025647","0.05263157894736842","0.13333333333333333"
23,"0.040540540540540536","0.07407407407407407","0.1276595744680851"
24,"0.19417475728155337","0.16923076923076924","0.2459016393442623"
25,"0.10778443113772455","0.15384615384615383","0.03636363636363636"
